Index,संस्कृतम्,Morphological Analysis,शब्दविश्लेषणम्,हिन्दी-विभक्ति:,हिन्दी अर्ध,English Meaning
2.1.Ǣ,धर्म-ज्ञः,B-A,धर्मज्ञ{1}{पुं-ए.},धर्मज्ञ+{0/ने},धर्म~के~ज्ञाता,knower_of_right_deed
2.1.ǣ,इति,-,इति,इति,ऐसा,thus
2.1.Ǥ,रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम~(से),to_Rama
2.1.ǥ,वचः,B-B,वचस्{2}{नपुं-ए.},वचस्+{को2},वचन,(following)words
2.1.Ǧ,अब्रवीत्,B-v,ब्रू{कर्तरि_लुङ्_प्रपु_ए.},ब्रू{कर्तरि_लुङ्_प्रपु_ए.},कहा,spoke_out
2.1.ǧ,रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,Rama_(the_son_of_Dasharatha)
2.1.Ǩ,अपि,-,अपि,अपि,भी,too
2.1.ǩ,परमोदारः,B-A,परमोदार{1}{पुं-ए.},परमोदार+{0/ने},परम~उदार~,supreme_magnanimous
2.1.Ǫ,सु-मुखः,B-A,सुमुख{1}{पुं-ए.},सुमुख+{0/ने},सुन्दर~मुख~वाला,wearing_a_gracious_aspect
2.1.ǫ,सु-महा-यशाः,B-A,सुमहायशस्{1}{पुं-ए.},सुमहायशस्+{0/ने},सुविख्यात,enjoying_a_great_renown
2.1.Ǭ,36,-,36,36,36,36
2.1.ǭ,7.1.Aन,7.1.C-,7.1.Dन,7.1.Eन,7.1.Fन,7.1.G(did)not
2.1.Ǯ,च,-,च,च,भी,च
2.1.ǯ,ऐच्छत्,B-v,इष{कर्तरि_लङ्_प्रपु_एक},इष{कर्तरि_लङ्_प्रपु_एक},चाहा,hanker
2.1.ǰ,पितुः,B-F,पितृ{6}{पुं-ए.},पितृ+{का},पिता~के,father's
2.1.Ǳ,आदेशात्,B-A,आदेश{5}{पुं-ए.},आदेश+{से},आदेश~से,decree
2.1.ǲ,राज्यम्,B-B,राज्य{2}{नपुं-ए.},राज्य+{को2},राज्य,for_the_kingdom
2.1.ǳ,रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,Rama_(the_son_of_Dasharatha)
2.1.Ǵ,महा-बलः,B-A,महाबल{1}{पुं-ए.},महाबल+{0/ने},महान्~बली,very_powerful
2.1.ǵ,पादुके,B-B,पादुका{2}{स्त्री-द्वि.},पादुका+{को2},पादुका,pair_of_wooden_sandals
2.1.Ƕ,च,-,च,च,भी,too
2.1.Ƿ,अस्य,B-F,इदम्{6}{ए.},इदम्+{का},अस्य,his
2.1.Ǹ,राज्याय,B-D,राज्य{4}{नपुं-ए.},राज्य+{को4},राज्य~के~लिए,to_rule_over_the_kingdom
2.1.ǹ,न्यासम्,B-B,न्यास{2}{पुं-ए.},न्यास+{को2},धरोहर,(as_his)representative
2.1.Ǻ,दत्वा,-,दत्वा,दत्वा,देकर,handing_over
2.1.ǻ,पुनः,-,पुनः,पुनः,पुनः,repeatedly
2.1.Ǽ,पुनः,-,पुनः,पुनः,पुनः,repeatedly
2.1.ǽ,37,-,37,37,37,37
2.1.Ǿ,8.1.Aनि-वर्तयामास,8.1.CB-v,8.1.Dनि+वृत्+णिच्{कर्तरि_लिट्_प्रपु_एक},8.1.Eनि+वृत्+णिच्{कर्तरि_लिट्_प्रपु_एक},8.1.Fलौटाया,8.1.Gpersuaded_(him)_to_return
2.1.ǿ,ततः,B-A,तत{1}{पुं-ए.},तत+{0/ने},ततः,from there
2.1.Ȁ,भरतं,B-B,भरत{2}{पुं-ए.},भरत+{को2},भरत~को,Bharata
2.1.ȁ,भरताग्रजः,B-A,भरताग्रज{1}{पुं-ए.},भरताग्रज+{0/ने},भरत~के~अग्रज,the_elder_brother_of_Bharata
2.1.Ȃ,सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह~(भरत),he(Bharata)
2.1.ȃ,कामम्,B-B,काम{2}{पुं-ए.},काम+{को2},मनोरथ~को,(his)ambition
2.1.Ȅ,अनवाप्य,-,अनवाप्य,अनवाप्य,न~प्राप्त~कर,without_realizing
2.1.ȅ,एव,-,एव,एव,ही,alone
2.1.Ȇ,राम-पादौ,B-B,रामपाद{2}{पुं-द्वि.},रामपाद+{को2},राम~के~चरण~को,the_feet_(of_shri_Rama)
2.1.ȇ,उप-स्पृशन्,B-A,उपस्पृशत्-त्{1}{पुं-ए.},उपस्पृशत्-त्+{0/ने},नमस्कार~करते~हुऐ,by_touching
2.1.Ȉ,38,-,38,38,38,38
2.1.ȉ,9.1.Aनन्दि-ग्रामे,9.1.CB-G,9.1.Dनन्दिग्राम{7}{पुं-ए.},9.1.Eनन्दिग्राम+{में/पर},9.1.Fनन्दिग्राम~नामक~स्थान~में,9.1.Gat_Nandigrama
2.1.Ȋ,अकरोत्,B-v,कृ{कर्तरि_लङ्_प्रपु_एक},कृ{कर्तरि_लङ्_प्रपु_एक},किया,did
2.1.ȋ,राज्यम्,B-B,राज्य{2}{नपुं-ए.},राज्य+{को2},राज्य,for_the_kingdom
2.1.Ȍ,राम-गमन-काङ्क्षया,B-C,राम-गमन-काङ्क्षा{3}{स्त्री-ए.},राम-गमन-काङ्क्षा+{से3},राम~के~आने~की~अभिलाषा~से,longing_for_the_return_of_shri_Rama
2.1.ȍ,गते,B-G,गत{7}{पुं-ए.},गत+{में/पर},चले~जाने~पर,having_proceeded
2.1.Ȏ,तु,-,तु,तु,किन्तु,but
2.1.ȏ,भरते,B-G,भरत{7}{पुं-ए.},भरत+{में/पर},भरत,Bharata
2.1.Ȑ,श्रीमान्,B-A,श्रीमत्{1}{पुं-ए.},श्रीमत्+{0/ने},श्रीसम्पन्न,the_glorious
2.1.ȑ,सत्य-सन्धः,B-A,सत्यसन्ध{1}{पुं-ए.},सत्यसन्ध+{0/ने},सत्यप्रतिज्ञ,of_unfailing_vow
2.1.Ȓ,जितेन्द्रियः,B-A,जितेन्द्रिय{1}{पुं-ए.},जितेन्द्रिय+{0/ने},जितेन्द्रिय,conquerer_of_sense_organs
2.1.ȓ,39,-,39,39,39,39
2.1.Ȕ,10.1.Aरामः,10.1.CB-A,10.1.Dराम{1}{पुं-ए.},10.1.Eराम+{0/ने},10.1.Fराम,10.1.GRama_(the_son_of_Dasharatha)
2.1.ȕ,तु,-,तु,तु,किन्तु,but
2.1.Ȗ,पुनः,-,पुनः,पुनः,पुनः,the_renewed
2.1.ȗ,आ-लक्ष्य,-,आ-लक्ष्य,आ-लक्ष्य,विचार~कर,anticipating
2.1.Ș,नागरस्य,B-F,नागर{6}{पुं-ए.},नागर+{का},नगरनिवासी,living_in_the_city
2.1.ș,जनस्य,B-F,जन{6}{पुं-ए.},जन+{का},लोगों~के,of_the_people
2.1.Ț,च,-,च,च,भी,too
2.1.ț,तत्र,-,तत्र,तत्र,चित्रकूट~पर्वत~पर,in_Citrakuta-mountain
2.1.Ȝ,आ-गमनम्,B-B,आगमन{2}{नपुं-ए.},आगमन+{को2},आगमन,visit
2.1.ȝ,एकाग्रः,B-A,एकाग्र{1}{पुं-ए.},एकाग्र+{0/ने},एकाग्र~चित्तवाले,intent_on_one_object
2.1.Ȟ,दण्डकान्,B-B,दण्डक{2}{पुं-ब.},दण्डक+{को2},दण्डक~नाम~के~वन~में,to_Dandakaranya
2.1.ȟ,प्र-विवेश,B-v,प्र+विश्{कर्तरि_लिट्_प्रपु_एक},प्र+विश्{कर्तरि_लिट्_प्रपु_एक},प्रवेश~कर~गये,entered
2.1.Ƞ,ह,-,ह,ह,ह,ह
2.1.ȡ,40,-,40,40,40,40
2.1.Ȣ,1.Aश्लोक,1.C-,1.Dश्लोक,1.Eश्लोक,1.Fश्लोक,1.GSloka
2.1.ȣ,2.1.Aप्र-विश्य,2.1.C-,2.1.Dप्रविश्य,2.1.Eप्रविश्य,2.1.Fप्रवेश~कर,2.1.Ghaving_entered
2.1.Ȥ,तु,-,तु,तु,और,and
2.1.ȥ,महारण्यम्,B-B,महारण्य{2}{नपुं-ए.},महारण्य+{को2},विशाल~वन~(में),Great_forest
2.1.Ȧ,रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम~ने,Rama
2.1.ȧ,राजीव-लोचनः,B-A,राजीव-लोचन{1}{पुं-ए.},राजीव-लोचन+{0/ने},कमल~जैसे~नेत्रों~वाला,Lotus-eyed
2.1.Ȩ,विराधम्,B-B,विराध{2}{पुं-ए.},विराध+{को2},विराध~को,Viradha
2.1.ȩ,राक्षसम्,B-B,राक्षस{2}{पुं-ए.},राक्षस+{को2},राक्षस~(से),demon
2.1.Ȫ,हत्वा,-,हत्वा,हत्वा,मारकर,having_killed
2.1.ȫ,शरभङ्कम्,-,शरभङ्क{2}{पुं-ए.},शरभङ्क+{को2},शरभङ्कम्,a sage called Sarabhanga
2.1.Ȭ,ददर्श,B-v,दृश्{कर्तरि_लिट्_प्रपु_एक},दृश्{कर्तरि_लिट्_प्रपु_एक},देखा,saw
2.1.ȭ,ह,-,ह,ह,निश्चय~ही,of_course
2.1.Ȯ,41,-,41,41,41,41
2.1.ȯ,3.1.Aसुतीक्ष्णम्,3.1.C-,3.1.Dसुतीक्ष्ण{2}{पुं-ए.},3.1.Eसुतीक्ष्ण+{को2},3.1.Fसुतीक्ष्ण~को,3.1.Gsutikshna_by_name
2.1.Ȱ,च,-,च,च,भी,also
2.1.ȱ,अपि,-,अपि,अपि,अपि,अपि
2.1.Ȳ,अगस्त्यम्,-,अगस्त्य{2}{पुं-ए.},अगस्त्य+{को2},अगस्त्य~को,Agastya_by_name
2.1.ȳ,च,-,च,च,भी,also
2.1.ȴ,अगस्त्य-भ्रातरम्,B-B,अगस्त्य-भ्रातृ{2}{पुं-ए.},अगस्त्य-भ्रातृ+{को2},अगस्त्य~के~भ्राता~को,to_Agastya's_brother
2.1.ȵ,तथा,-,तथा,तथा,और,and
2.1.ȶ,अगस्त्य-वचनात्,B-A,अगस्त्य-वचन{5}{नपुं-ए.},अगस्त्य-वचन+{से},अगस्त्य~के~कहने~से,at_the_instance_of_Agastya
2.1.ȷ,च,-,च,च,भी,also
2.1.ȸ,एव,-,एव,एव,ही,alone
2.1.ȹ,जग्राह,B-v,ग्रह्{कर्तरि_लिट्_प्रपु_एक},ग्रह्{कर्तरि_लिट्_प्रपु_एक},लिया,accepted
2.1.Ⱥ,ऐन्द्रम्,B-B,ऐन्द्र{2}{नपुं-ए.},ऐन्द्र+{को2},इन्द्र~के~द्वारा~प्रदत्त,bestowed_by_Indra
2.1.Ȼ,शरासनम्,B-B,शरासन{2}{नपुं-ए.},शरासन+{को2},धनुष~को,a_bow
2.1.ȼ,4.1.Aखड्गम्,4.1.CB-A,4.1.Dखड्ग{1}{पुं-ए.},4.1.Eखड्ग+{0/ने},4.1.Fतलवार~को,4.1.Ga_sword
2.1.Ƚ,च,-,च,च,भी,also
2.1.Ⱦ,परम-प्रीतः,B-A,परम-प्रीत{1}{पुं-ए.},परम-प्रीत+{0/ने},अत्यधिक~प्रसन्न,with_supreme_delight
2.1.ȿ,तूणी,B-B,तूणि{2}{पुं-द्वि.},तूणि+{को2},निषङ्गों~को,a_pair_of_quivers_
2.1.ɀ,च,-,च,च,भी,also
2.1.Ɂ,अक्षय-सायकौ,B-B,अक्षय-सायक{2}{पुं-द्वि.},अक्षय-सायक+{को2},विनाश~रहित~बाणा~वाले,containing_inexhaustible_store_of_arrows
2.1.ɂ,वसतः,B-F,वसत्{6}{पुं-ए.},वसत्+{का},निवास~करते~हुए,dwelling
2.1.Ƀ,तस्य,B-F,तद्{6}{पुं-ए.},तद्+{का},उसके,his
2.1.Ʉ,रामस्य,B-F,राम{6}{पुं-ए.},राम+{का},राम~के,rAma's
2.1.Ʌ,वने,B-G,वन{7}{नपुं-ए.},वन+{में/पर},वन~में,in_forest
2.1.Ɇ,वन-चरैः,B-C,वन-चर{3}{पुं-ब.},वन-चर+{से3},वनचरों~के,the_foresters
2.1.ɇ,सह,-,सह,सह,साथ,with
2.1.Ɉ,43,-,43,43,43,43
2.1.ɉ,5.1.Aऋषयः,5.1.CB-A,5.1.Dऋषि{1}{पुं-ब.},5.1.Eऋषि+{0/ने},5.1.Fमुनियों~ने,5.1.Gthe_seers
2.1.Ɋ,अभ्यागमन्,B-v,अभि+आ+गम्{कर्तरि_लुङ्_प्रपु_बहु},अभि+आ+गम्{कर्तरि_लुङ्_प्रपु_बहु},आए,called_on
2.1.ɋ,सर्वे,B-A,सर्व{1}{पुं-ब.},सर्व+{0/ने},सभी,all
2.1.Ɍ,वधाय,B-D,वध{4}{पुं-ए.},वध+{को4},वध~के~लिए,for_killing
2.1.ɍ,असुर-रक्षसाम्,B-F,असुररक्षस्{6}{नपुं-ब.},असुररक्षस्+{का},असुर-असुरा~के,of_demons
2.1.Ɏ,सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह~(राम),he_(Rama)
2.1.ɏ,तेषाम्,-,तद्{6}{पुं-ब.},तद्+{का},उनके~(राक्षसों~के),their
2.1.ɐ,प्रति-शुश्राव,-,प्रति-श्रु{कर्तरि_लिट्_प्रपु_एक},प्रति-शुश्राव{कर्तरि_लिट्_प्रपु_एक},स्वीकार~किया,accepted
2.1.ɑ,राक्षसानाम्,B-F,राक्षस{6}{पुं-ब.},राक्षस+{का},राक्षसा~के~(वध),of_the_demons
2.1.ɒ,तदा,-,तदा,तदा,उसी~समय,at_that_time
2.1.ɓ,वने,B-G,वन{7}{नपुं-ए.},वन+{में/पर},वन~में,in_forest
2.1.ɔ,44,-,44,44,44,44
2.1.ɕ,6.1.Aप्रति-ज्ञातः,6.1.CB-A,6.1.Dप्रतिज्ञात{1}{पुं-ए.},6.1.Eप्रतिज्ञात+{0/ने},6.1.Fप्रतिज्ञा~की,6.1.Gsolemnly_promised
2.1.ɖ,च,-,च,च,भी,also
2.1.ɗ,रामेण,B-C,राम{3}{पुं-ए.},राम+{से3},दशरथ~के~पुत्र~राम~द्वारा,by_Rama
2.1.ɘ,वधः,B-A,वध{1}{पुं-ए.},वध+{0/ने},संहार,the_killing
2.1.ə,संयति,B-G,संयत्{7}{स्त्री-ए.},संयत्+{में/पर},युद्ध~में,in_an_encounter
2.1.ɚ,रक्षसाम्,B-F,रक्षस्{6}{नपुं-ब.},रक्षस्+{का},असुरा~के,of_demons
2.1.ɛ,ऋषीणाम्,B-F,ऋषि{6}{पुं-ब.},ऋषि+{का},ऋषियों~का,of_the_seers
2.1.ɜ,अग्नि-कल्पानाम्,B-F,अग्नि-कल्प{6}{पुं-ब.},अग्नि-कल्प+{का},अग्नि~के~समान,glorious_as_fire
2.1.ɝ,दण्डकारण्य-वासिनाम्,B-F,दण्डकारण्य-वासिन्{6}{पुं-ब.},दण्डकारण्य-वासिन्+{का},दण्डकारण्य~में~निवास~करने~वाले,dwelling_in_the_forest_of_Dandaka
2.1.ɞ,7.1.Aतेन,7.1.CB-C,7.1.Dतद्{3}{नपुं/पुं.-ए.},7.1.Eतद्+{से3},7.1.Fउसके~(राम)~द्वारा,7.1.Gby_him_(Rama)
2.1.ɟ,तत्र,-,तत्र,तत्र,उस~वन~में,in_forest
2.1.ɠ,एव,-,एव,एव,ही,alone
2.1.ɡ,वसता,B-C,वसत्{3}{पुं-ए.},वसत्+{से3},रहते~हुए,while_living
2.1.ɢ,जनस्थान-निवासिनी,-,जनस्थान-निवासिनी{1}{स्त्री-ए.},जनस्थान-निवासिनी+{0/ने},जनस्थान~में~रहने~वाली,dwelling_in_Janasthana
2.1.ɣ,वि-रूपिता,-,वि-रूपिता{1}{स्त्री-ए.},वि-रूपिता+{0/ने},विरूप~की~गयी,lopped_off
2.1.ɤ,शूर्पणखा,-,शूर्पणखा{1}{स्त्री-ए.},शूर्पणखा{0/ने},शूर्पणखा,"shurpanakhaa,_by_name"
2.1.ɥ,राक्षसी,-,राक्षसी{1}{स्त्री-ए.},राक्षसी{0/ने},राक्षसी,demoness
2.1.ɦ,काम-रूपिणी,-,काम-रूपिणी{1}{स्त्री-ए.},काम-रूपिणी{0/ने},इच्छानुसार~रूप~बनाने~वाली,capable_of_assuming_any_form_at_will
2.1.ɧ,8.1.Aततः,8.1.CB-A,8.1.Dततः,8.1.Eततः,8.1.Fउसके~बाद,8.1.Gthen
2.1.ɨ,शूर्पणखा-वाक्यात्,-,शूर्पणखा-वाक्य{5}{नपुं-ए.},शूर्पणखा-वाक्य+{से},शूर्पणखा~के~वचन~से,at_the_instigation_of_shurrpanakha
2.1.ɩ,उद्युक्तान्,B-B,उद्युक्त{2}{पुं-ब.},उद्युक्त+{को2},युद्ध~हेतु~तत्पर,prepared_for_battle
2.1.ɪ,सर्व-राक्षसान्,B-B,सर्व-राक्षस{2}{पुं-ब.},सर्व-राक्षस+{को2},सभी~राक्षसों~को,सर्व-राक्षसान्
2.1.ɫ,खरं,B-B,खर{2}{पुं-ए.},खर+{को2},खरनामक,Khara_by_name
2.1.ɬ,त्रि-शिरसं,-,त्रि-शिरस{2}{पुं-ए.},त्रि-शिरस+{को2},त्रिशिरा~नामक,"Trishir,by_name"
2.1.ɭ,च,-,च,च,भी,also
2.1.ɮ,एव,-,एव,एव,ही,alone
2.1.ɯ,दूषणं,B-B,दूषण{2}{पुं-ए.},दूषण+{को2},दूषण~नामक,Dushana_by_name
2.1.ɰ,च,-,च,च,भी,also
2.1.ɱ,एव,-,एव,एव,ही,alone
2.1.ɲ,राक्षसम्,B-B,राक्षस{2}{पुं-ए.},राक्षस+{को2},राक्षस~(से),demon
2.1.ɳ,47,-,47,47,47,47
2.1.ɴ,9.1.Aनि-जघान,9.1.CB-v,9.1.Dनि+हन्{कर्तरि_लिट्_प्रपु_एक},9.1.Eनि+हन्{कर्तरि_लिट्_प्रपु_एक},9.1.Fमारा,9.1.Gkilled
2.1.ɵ,रणे,-,रण{7}{पुं-ए.},रण+{में/पर},युद्ध~में,in_an_encounter
2.1.ɶ,रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम~ने,Rama
2.1.ɷ,तेषाम्,-,तद्{6}{पुं-ब.},तद्+{का},उनके~(राक्षसा~के),their
2.1.ɸ,च,-,च,च,भी,also
2.1.ɹ,एव,-,एव,एव,ही,alone
2.1.ɺ,पदानुगान्,-,पदानुग{2}{पुं-ब.},पदानुग+{को2},अनुयायियों~को,followers
2.1.ɻ,वने,B-G,वन{7}{नपुं-ए.},वन+{में/पर},वन~में,in_forest
2.1.ɼ,तस्मिन्,B-G,तद्{7}{नपुं-ए.},तद्+{में/पर},उस~में,in_that_place
2.1.ɽ,निवसता,B-C,निवसत्{3}{पुं-ए.},निवसत्+{से3},रहते~हुए,by_Rama_while_sojourning
2.1.ɾ,जन-स्थान-निवासिनाम्,-,जन-स्थान-निवासिन्{6}{पुं-ब.},जन-स्थान-निवासिन्+{का},दण्डकारण्यवासियों,living_in_Janasthana
2.1.ɿ,10.1.Aरक्षसाम्,10.1.CB-F,10.1.Dरक्षस्{6}{नपुं-ब.},10.1.Eरक्षस्+{का},10.1.Fअसुरों~के,10.1.Gof_demons
2.1.ʀ,नि-हतानि,-,नि-हत{1}{नपुं-ब.},नि-हत+{0/ने},मारे~गए,killed
2.1.ʁ,आसन्,B-v,अस्{कर्तरि_लङ्_प्रपु_बहु},अस्{कर्तरि_लङ्_प्रपु_बहु},थे,were
2.1.ʂ,सहस्राणि,B-A,सहस्र{1}{नपुं-ब.},सहस्र+{0/ने},हजार,thousand
2.1.ʃ,चतुर्दश,B-A,चतुर्दशन्{1}{नपुं-ब.},चतुर्दशन्+{0/ने},चौदह,fourteen
2.1.ʄ,ततः,B-A,ततः,ततः,उसके~बाद,then
2.1.ʅ,ज्ञाति-वधम्,B-B,ज्ञाति-वध{2}{पुं-ए.},ज्ञाति-वध+{को2},ज्ञाति-वधम्,the_killing_of_kinsmen
2.1.ʆ,श्रुत्वा,-,श्रु{क्त्वान्तम्},श्रु{क्त्वान्तम्},सुनकर,having_heard
2.1.ʇ,रावणः,B-A,रावण{1}{पुं-ए.},रावण+{0/ने},रावणः,Ravana
2.1.ʈ,क्रोध-मूर्च्छितः,B-A,क्रोध-मूर्छित{1}{पुं-ए.},क्रोध-मूर्छित+{0/ने},क्रोध~से~मूर्छित,stupefied_through_anger
2.1.ʉ,11.1.Aसहायम्,11.1.C-,11.1.Dसहाय{2}{पुं-ए.},11.1.Eसहाय+{को2},11.1.Fसहयोग,11.1.Gthe_help
2.1.ʊ,वरयामास,-,वरयामास,वरयामास,मांगा,sought
2.1.ʋ,मारीचम्,-,मारीच{2}{नपुं-ए.},मारीच+{को2},मारीचम्,Maricha
2.1.ʌ,नाम,-,नाम{1}{नपुं-ए.},नाम+{0/ने},नाम~से~प्रसिद्ध,by_name
2.1.ʍ,राक्षसम्,B-B,राक्षस{2}{पुं-ए.},राक्षस+{को2},राक्षस~(से),demon
2.1.ʎ,1.Aश्लोक,1.C-,1.Dश्लोक,1.Eश्लोक,1.Fश्लोक,1.Gश्लोक
2.1.ʏ,2.1.Aवार्यमाणः,2.1.CB-A,2.1.Dवार्यमाण{1}{पुं-ए.},2.1.Eवार्यमाण+{0/ने},2.1.Fरोका~गया,2.1.Gdiscouraged
2.1.ʐ,सु-बहुशः,-,सु-बहुशः,सु-बहुशः,बार-बार,repeatedly
2.1.ʑ,मारीचेन,B-C,मारीच{3}{पुं-ए.},मारीच+{से3},मारीच~के~द्वारा,by_Marica
2.1.ʒ,सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह~राम,he_(Rama)
2.1.ʓ,रावणः,B-A,रावण{1}{पुं-ए.},रावण+{0/ने},रावण,Ravana
2.1.ʔ,न,-,न,न,नहीं~(है),not
2.1.ʕ,विरोधः,B-A,विरोध{1}{पुं-ए.},विरोध+{0/ने},विरोध,to_make_enemy
2.1.ʖ,बलवता,B-C,बलवत्{3}{पुं-ए.},बलवत्+{से3},बलवान्,powerful_(Rama)
2.1.ʗ,क्षमः,B-A,क्षम{1}{पुं-ए.},क्षम+{0/ने},उचित,advisable
2.1.ʘ,रावण,B-H,रावण{8}{पुं-ए.},रावण{8}{पुं-ए.},रावण,Ravana
2.1.ʙ,तेन,B-C,तद्{3}{नपुं/पुं.-ए.},तद्+{से3},उस~से,in_that
2.1.ʚ,ते,B-A,तद्{1}{पुं-ब.},तद्+{0/ने},तुम्हारा,for_you
2.1.ʛ,3.1.Aअनादृत्य,3.1.C-,3.1.Dअनादृत्य,3.1.Eअनादृत्य,3.1.Fअनादृत~करके,3.1.Gturning_adeaf_ear
2.1.ʜ,तु,-,तु,तु,तु,तु
2.1.ʝ,तद्वाक्यं,B-B,तद्वाक्य{2}{नपुं-ए.},तद्वाक्य+{को2},उसके~वचन~को,to_his_advice
2.1.ʞ,रावणः,B-A,रावण{1}{पुं-ए.},रावण+{0/ने},रावण,Ravana
2.1.ʟ,काल-चोदितः,-,काल-चोदित{1}{पुं-ए.},काल-चोदित+{0/ने},मृत्यु~के~द्वारा~प्रेरित,impelled_by_death
2.1.ʠ,जगाम,B-v,गम्{कर्तरि_लिट्_प्रपु_एक},गम्{कर्तरि_लिट्_प्रपु_एक},गया,proceeded
2.1.ʡ,सह-मारीचः,-,सह-मारीच{1}{पुं-ए.},सह-मारीच+{0/ने},सह-मारीचः,along with Marica
2.1.ʢ,तस्य,B-F,तद्{6}{पुं-ए.},तद्+{का},राम~के,Rama's
2.1.ʣ,आश्रम-पदं,-,आश्रम-पद{2}{पुं-ए.},आश्रम-पद+{को2},आश्रम~स्थान~को,hermitage
2.1.ʤ,तदा,-,तदा,तदा,तब,then
2.1.ʥ,4.1.Aतेन,4.1.CB-C,4.1.Dतद्{3}{नपुं/पुं.-ए.},4.1.Eतद्+{से3},4.1.Fउस~से,4.1.Gin_that
2.1.ʦ,मायाविना,B-C,मायाविन्{3}{पुं-ए.},मायाविन्+{से3},मायावी~के~द्वारा,by_the_wily(Marica)
2.1.ʧ,दूरम्,B-B,दूर{2}{नपुं-ए.},दूर+{को2},दूर~स्थान~में,afar
2.1.ʨ,अपवाह्य,-,अपवाह्य,अपवाह्य,हटाकर,having_removed
2.1.ʩ,नृपात्मजौ,B-B,नृपात्मज{2}{पुं-द्वि.},नृपात्मज+{को2},दोना~राजपुत्रा~को,two_princes_(Rama_and_Lakshmana)
2.1.ʪ,जहार,B-v,हृ{कर्तरि_लिट्_प्रपु_एक},हृ{कर्तरि_लिट्_प्रपु_एक},चुरा~ले~गया,stole_away
2.1.ʫ,भार्याम्,B-B,भार्या{2}{स्त्री-ए.},भार्या+{को2},पत्नी~को,wife
2.1.ʬ,रामस्य,B-F,राम{6}{पुं-ए.},राम+{का},राम~की,Rama's
2.1.ʭ,गृध्रम्,B-B,गृध्र{2}{पुं-ए.},गृध्र+{को2},गिद्ध,the_vulture
2.1.ʮ,हत्वा,-,हत्वा,हत्वा,मारकर,having_killed
2.1.ʯ,जटायुषम्,B-B,जटायुष{2}{पुं-ए.},जटायुष+{को2},जटायु~(का),Jatayu_by_name
2.1.ʰ,5.1.Aगृध्रम्,5.1.CB-B,5.1.Dगृध्र{2}{पुं-ए.},5.1.Eगृध्र+{को2},5.1.Fगिद्ध,5.1.Gthe_vulture
2.1.ʱ,च,-,च,च,और,and
2.1.ʲ,नि-हतम्,-,नि-हत{1}{नपुं-ए.},नि-हत+{0/ने},मरणासन्न,mortally_wounded
2.1.ʳ,दृष्ट्वा,-,दृष्ट्वा,दृष्ट्वा,देख~कर,having_seen
2.1.ʴ,हृतां,B-B,हृता{2}{स्त्री-ए.},हृता+{को2},अपहृता,forcibly_carried_off
2.1.ʵ,श्रुत्वा,-,श्रु{क्त्वान्तम्},श्रु{क्त्वान्तम्},सुनकर,having_heard
2.1.ʶ,च,-,च,च,और,and
2.1.ʷ,मैथिलीम्,B-B,मैथिली{2}{स्त्री-ए.},मैथिली+{को2},सीता~को,Maithili_(Sita)
2.1.ʸ,राघवः,B-A,राघव{1}{पुं-ए.},राघव+{0/ने},राम~(ने),a_scion_of_Raghu
2.1.ʹ,शोक-सन्तप्तः,-,शोक-सन्तप्त{1}{पुं-ए.},शोक-सन्तप्त+{0/ने},दुःखित,tormented_with_grief
2.1.ʺ,वि-ललाप,-,वि-ललाप,वि-ललाप,विलाप~किया,wailed_loudly
2.1.ʻ,आकुलेन्द्रियः,B-A,आकुलेन्द्रिय{1}{पुं-ए.},आकुलेन्द्रिय+{0/ने},व्यथित,mind_agitated
2.1.ʼ,6.1.Aततः,6.1.CB-A,6.1.Dततः,6.1.Eततः,6.1.Fउसके~बाद,6.1.Gthen
2.1.ʽ,तेन,B-C,तद्{3}{नपुं/पुं.-ए.},तद्+{से3},उस~से,in_that
2.1.ʾ,एव,-,एव,एव,ही,also
2.1.ʿ,शोकेन,B-C,शोक{3}{पुं-ए.},शोक+{से3},शोक~से,in_state_of_grief
2.1.ˀ,गृध्रम्,B-B,गृध्र{2}{पुं-ए.},गृध्र+{को2},गिद्ध,the_vulture
2.1.ˁ,दग्ध्वा,-,दग्ध्वा,दग्ध्वा,दाह~संस्कार~करके,having_cremated
2.1.˂,जटायुषम्,B-B,जटायुष{2}{पुं-ए.},जटायुष+{को2},जटायु~(का),Jatayu_by_name
2.1.˃,मार्गमाणः,B-A,मार्गमाण{1}{पुं-ए.},मार्गमाण+{0/ने},खोजते~हुए,hunting_up
2.1.˄,वने,B-G,वन{7}{नपुं-ए.},वन+{में/पर},वन~में,in_the_forest
2.1.˅,सीताम्,B-B,सीता{2}{स्त्री-ए.},सीता+{को2},सीता~को,Sita
2.1.ˆ,राक्षसम्,B-B,राक्षस{2}{पुं-ए.},राक्षस+{को2},राक्षस~को,demon
2.1.ˇ,सं-ददर्श,B-v,सं-दृश्{कर्तरि_लिट्_प्रपु_एक},सं-दृश्{कर्तरि_लिट्_प्रपु_एक},देखा,saw
