Sanskrit,Without Sandhi,Multipule Morphology,Morph in Context,Samaasa structural analysis,Samaasa vigraha,Kaaraka relation,Category,Hindi Meaning,English Meaning,Derivational Meaning,Sandhi rules,Meter: Guru-Laghu
परस्परम्,परस्परम्,परस्परम्{अव्य}/परस्पर{पुं}{2;एक}/परस्पर{नपुं}{1;एक}/परस्पर{नपुं}{2;एक},परस्परम्{अव्य},-,-,कर्म 4,-,आपस में (मेरे प्रभाव को),I,-,जश्त्व-सन्धिः (झलां जश् झशि (8।4।53)),16.3.MGG
बोधयन्तः,बोधयन्तः,बोधयन्तः,बुध् णिच्{कृत् प्रत्ययः:क्त;बुधिँर् णिच्;भ्वादिः;पुं}{1;बहु},-,-,समुच्चितम् 5,-,जनाते हुए,that,-,चर्त्व-सन्धिः (खरि च (8।4।55)) / सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),GGGGGL
च,-,च{अव्य},च{अव्य},-,-,समानकालः 11,-,तथा,real intelligence,-,16.1.L-,LGGGLG
माम्,मां,अस्मद्{2;एक},अस्मद्{2;एक},-,-,कर्म 12,-,मेरा,give,-,रेफ-सन्धिः (ससजुषो रुः (8।2।66)),LG
कथयन्तः,कथयन्तश्च,कथयत्{पुं}{1;बहु}/कथयत्{पुं}{8;बहु},कथ{कृत् प्रत्ययः:शतृ;कथ;चुरादिः;पुं}{1;बहु},-,-,समुच्चितम् 5,-,कथन करते हुए,by which,-,-,GLL
च,च,च{अव्य},च{अव्य},-,-,कर्ता 11,-,ही,they,15.17.K-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),G
नित्यम्,नित्यं,नित्य{पुं}{2;एक}/नित्य{नपुं}{1;एक}/नित्य{नपुं}{2;एक},नित्य{नपुं}{2;एक},-,-,क्रियाविशेषणम् 10,-,निरन्तर,unto Me,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),LG
तुष्यन्ति,तुष्यन्ति,तुष्यत्{नपुं}{1;बहु}/तुष्यत्{नपुं}{2;बहु}/तुष्यत्{नपुं}{8;बहु}/तुष्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;तुषँ;दिवादिः}/तुष्यन्ती{स्त्री}{8;एक},तुष्{कर्तरि;लट्;प्र;बहु;परस्मैपदी;तुषँ;दिवादिः},-,-,समुच्चितम् 11,-,संतुष्ट होते हैं,come,-,सत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)) / रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-लोपः शाकल्यस्य (8।3।19)),GGLLGGL
च,च,च{अव्य},च{अव्य},-,-,-,-,और,10.10.Jfor them,-,-,GLG
रमन्ति,रमन्ति,रमन्ति,रम्{कर्तरि;लट्;प्र;बहु;परस्मैपदी;रमुँ;भ्वादिः},-,-,समुच्चितम् 11,-,रमण करते हैं,to show special mercy,-,-,16.4.MGL
10.9.Aतेषाम्,10.9.Bतेषां,10.9.Cतद्{पुं}{6;बहु}/तद्{नपुं}{6;बहु},10.9.Dतद्{पुं}{6;बहु},10.9.E-,10.9.F-,10.9.Gविशेषणम् 2,10.9.H-,10.9.Iउन,within themselves,-,सत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)),GGGGL
सतत-युक्तानाम्,सततयुक्तानां,सततयुक्त{पुं}{6;बहु}/सततयुक्त{नपुं}{6;बहु}/सततयुक्ता{स्त्री}{6;बहु},सतत-युज्{कृत् प्रत्ययः:क्त;युजिँर्;रुधादिः;पुं}{6;बहु},<सतत-युक्तानाम्>K1,सततं युक्ताः = सततयुक्ताः तेषाम् सततयुक्तानाम्,समुच्चितम् 3,-,निरन्तर मेरे ध्यान आदि में लगे हुए,I,-,रेफ-सन्धिः (ससजुषो रुः (8।2।66)),GLGG
(च),-,(च{अव्य}),(च){अव्य},-,-,षष्ठीसम्बन्धः 8,-,(और),certainly,-,यण्-सन्धिः (इको यणचि (6।1।77)),G
प्रीति-पूर्वकम्,प्रीतिपूर्वकम्,प्रीति-पूर्वक{पुं}{2;एक}/पूर्वक{नपुं}{1;एक}/पूर्वक{नपुं}{2;एक},प्रीति-पूर्वक{पुं}{2;एक},<प्रीति-पूर्वकम्>T3,प्रीत्या पूर्वकम् = प्रीतिपूर्वकम्,विशेषणम् 5,-,प्रेमपूर्वक,due to ignorance,15.18.K-,-,GL
भजताम्,भजतां,भज्1{कर्तरि;लोट्;प्र;एक;आत्मनेपदी;भजँ;भ्वादिः}/भज्1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;भजँ;भ्वादिः},भज्{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;भजँ;भ्वादिः},-,-,समुच्चितम् 3,-,भजनेवाले भक्तों को,darkness,-,-,L
(अहम्),-,(अस्मद्{1;एक}),(अस्मद्){1;एक},-,-,कर्ता 9,-,(मैं),glowing,-,रेफ-सन्धिः (ससजुषो रुः (8।2।66)),GLL
तम्,तं,तद्{पुं}{2;एक},तद्{पुं}{2;एक},-,-,विशेषणम् 8,-,वह,with the lamp of knowledge,-,-,GG
बुद्धि-योगम्,बुद्धियोगं,बुद्धि-योग{पुं}{2;एक},बुद्धि-योग{पुं}{2;एक},<बुद्धि-योगं>T6,बुद्धेः योगः = बुद्धियोगः तम् बुद्धियोगं,कर्म 9,-,तत्त्वज्ञानरूप योग,dispel,-,-,GLLG
ददामि,ददामि,दा3{कर्तरि;लट्;उ;एक;परस्मैपदी;डुदाञ्;जुहोत्यादिः},दा{कर्तरि;लट्;उ;एक;परस्मैपदी;डुदाञ्;जुहोत्यादिः},-,-,-,-,देता हूँ,10.11.JYourself,-,-,GL
येन,येन,येन{अव्य}/यद्{पुं}{3;एक}/यद्{नपुं}{3;एक},यद्{नपुं}{3;एक},-,-,करणम् 13,-,जिससे,supreme,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),GLG
ते,ते,तद्{पुं}{1;बहु}/तद्{स्त्री}{1;द्वि}/तद्{स्त्री}{2;द्वि}/तद्{नपुं}{1;द्वि}/तद्{नपुं}{2;द्वि}/युष्मद्{4;एक}/युष्मद्{6;एक},तद्{पुं}{1;बहु},-,-,कर्ता 13,-,वे,truth,-,-,G
माम्,मामुपयान्ति,अस्मद्{2;एक},अस्मद्{2;एक},-,-,कर्म 13,-,मुझको,supreme,-,-,LL
उपयान्ति,-,उप या1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;या;अदादिः},उप या{कर्तरि;लट्;प्र;बहु;परस्मैपदी;उप या;अदादिः},-,-,-,-,प्राप्त होते हैं,sustenance,-,-,LG
10.10.Aतेषाम्,10.10.Bतेषामेवानुकम्पार्थमहमज्ञानजं,10.10.Cतद्{पुं}{6;बहु}/तद्{नपुं}{6;बहु},10.10.Dतद्{पुं}{6;बहु},10.10.E-,10.10.F-,10.10.Gषष्ठीसम्बन्धः 2,10.10.H-,10.10.Iउनके (ऊपर),also,-,-,LGG
अनुकम्पा-अर्थम्,-,अनुकम्पा{अर्थम्},अनुकम्पा-अर्थ{नपुं}{1;एक},-,-,प्रयोजनम् 10,-,अनुग्रह करने के लिये,supreme,-,-,L
आत्म-भाव-स्थः,-,आत्मन्-भाव-स्थ{पुं}{1;एक},आत्मन्-भाव-स्थ{पुं}{1;एक},<<आत्म-भाव>T6-स्थः>U,"आत्मनः भावः = आत्मभावः, आत्मभावे तिष्ठति = आत्मभावस्थः",विशेषणम् 4,-,उनके अन्तःकरण में स्थित हुआ,purest,-,16.2.L-,LGG
अहम्,-,अस्मद्{1;एक},अस्मद्{1;एक},-,-,कर्ता 10,-,मैं,is,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),L
एव,-,एव{अव्य},एव{अव्य},-,-,सम्बन्धः 4,-,ही,unto You,-,रुत्व-उत्व-गुण-पूर्वरुप-सन्धिः (ससजुषो रुः (8।2।66)-अतो रोरप्लुतादप्लुते (6।1।113)-आद्गुणः (6।1।87)-एङः पदान्तादति (6।1।109)) / सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),L
अ-ज्ञान-जम्,-,अ-ज्ञान-ज{पुं}{2;एक},अज्ञान-ज{नपुं}{2;एक},<<न-ज्ञान>Tn-जं>U,"न ज्ञानम् = अज्ञानम्, अज्ञानं जनयति तद् = अज्ञानजम्",विशेषणम् 7,-,अज्ञानजनित,all,बुद्धिः अस्यास्तीति,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),LLGLG
तमः,तमः,तम{पुं}{1;एक}/तमस्{नपुं}{1;एक}/तमस्{नपुं}{2;एक},तमस्{नपुं}{2;एक},-,-,कर्म 10,-,अन्धकार को,sages,16.1.K-,-,GL
भास्वता,भास्वता,भास्वत्{पुं}{3;एक},भास्वत्{पुं}{3;एक},-,-,विशेषणम् 9,-,प्रकाशमय,original,-,-,L
ज्ञान-दीपेन,ज्ञानदीपेन,ज्ञान-दीप{पुं}{3;एक},ज्ञान-दीप{पुं}{3;एक},<ज्ञान-दीपेन>T6,ज्ञानस्य दीपः = ज्ञानदीपः तेन ज्ञानदीपेन,करणम् 10,-,तत्त्वज्ञानरूप दीपक के द्वारा,transcendental,-,-,GG
नाशयामि,नाशयाम्यात्मभावस्थो,नश्1 णिच्{कर्तरि;लट्;उ;एक;परस्मैपदी;णशँ;दिवादिः},नश् णिच्{कर्तरि;लट्;उ;एक;परस्मैपदी;णशँ णिच्;दिवादिः},-,-,-,-,नष्ट कर देता हूँ,personality,-,-,GL
10.11.Aभवान्,10.11.Bभवान्,10.11.Cभव{पुं}{2;बहु}/भवत्{पुं}{1;एक},10.11.Dभवत्{पुं}{1;एक},10.11.E-,10.11.F-,10.11.Gकर्ता 9,10.11.H-,10.11.Iआप,original Lord,-,-,GGG
परम्,परं,परम्{अव्य}/पर{पुं}{2;एक}/पर{नपुं}{1;एक}/पर{नपुं}{2;एक}/पर{पुं}{2;एक}/पर{नपुं}{1;एक}/पर{नपुं}{2;एक},पर{नपुं}{1;एक},-,-,विशेषणम् 3,-,परम,unborn,-,16.3.L-,L
ब्रह्म,ब्रह्म,ब्रह्म{नपुं}{8;एक}/ब्रह्मन्{नपुं}{1;एक}/ब्रह्मन्{नपुं}{2;एक},ब्रह्मन्{नपुं}{1;एक},-,-,समुच्चितम् 6,-,ब्रह्म,and,ऋजोः भावः आर्जवम्,जश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)),GG
परम्,परं,परम्{अव्य}/पर{पुं}{2;एक}/पर{नपुं}{1;एक}/पर{नपुं}{2;एक}/पर{पुं}{2;एक}/पर{नपुं}{1;एक}/पर{नपुं}{2;एक},पर{नपुं}{1;एक},-,-,विशेषणम् 5,-,परम,greatest,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),GLG
धाम,धाम,धामन्{नपुं}{1;एक}/धामन्{नपुं}{2;एक}/धामन्{नपुं}{8;एक},धामन्{नपुं}{1;एक},-,-,समुच्चितम् 6,-,धाम,say,-,-,16.6.MG
(च),-,(च{अव्य}),(च){अव्य},-,-,कर्तृसमानाधिकरणम् 9,-,(और),also,-,-,LLGLLGLL
परमम्,परमं,परमम्{अव्य}/परम{पुं}{2;एक}/परम{नपुं}{1;एक}/परम{नपुं}{2;एक},परम{नपुं}{1;एक},-,-,विशेषणम् 8,-,परम,the sage among the demigods,-,-,LGGGLGG
पवित्रम्,पवित्रं,पवित्र{पुं}{2;एक},पवित्र{पुं}{1;एक},-,-,समुच्चितम् 6,-,पवित्र,Narada,-,-,LLGLLGGG
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(है),Asita,मृदोः भावः मार्दवम्,रुत्व-उत्व-गुण-पूर्वरुप-सन्धिः (ससजुषो रुः (8।2।66)-अतो रोरप्लुतादप्लुते (6।1।113)-आद्गुणः (6।1।87)-एङः पदान्तादति (6।1।109)),GGGGLGLL
त्वाम्,-,युष्मद्{2;एक},युष्मद्{2;एक},-,-,कर्म 20,-,आपको,Devala,-,-,16.7.MGG
सर्वे,सर्वे,सर्व{पुं}{1;बहु}/सर्व{नपुं}{1;द्वि}/सर्व{नपुं}{2;द्वि}/सर्वा{स्त्री}{1;द्वि}/सर्वा{स्त्री}{2;द्वि},सर्व{पुं}{1;बहु},-,-,विशेषणम् 12,-,सब,Vyasa,-,16.4.L-,GGLGGL
ऋषयः,-,ऋषि{पुं}{1;बहु}/ऋषि{पुं}{8;बहु},ऋषि{पुं}{1;बहु},-,-,कर्ता 20,-,ऋषिगण,also,-,पूर्वरूप-सन्धिः (एङः पदान्तादति (6।1।109)) / रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-लोपः शाकल्यस्य (8।3।19)),GGGGLGLG
शाश्वतम्,शाश्वतं,शाश्वत{पुं}{2;एक}/शाश्वत{नपुं}{1;एक}/शाश्वत{नपुं}{2;एक},शाश्वत{पुं}{2;एक},-,-,समुच्चितम् 18,-,सनातन,personally,-,-,LLGLG
दिव्यम्,दिव्यमादिदेवमजं,दिव्य{पुं}{2;एक}/दिव्य{नपुं}{1;एक}/दिव्य{नपुं}{2;एक},दिव्य{पुं}{2;एक},-,-,विशेषणम् 15,-,दिव्य,certainly,शुचेः भावः शौचम्,-,LGL
पुरुषम्,पुरुषम्,पुरुष{पुं}{2;एक},पुरुष{पुं}{2;एक},-,-,समुच्चितम् 18,-,पुरुष,unto me,-,-,LLGGLGGG
आदि-देवम्,-,आदिन्-देव{पुं}{2;एक},आदि-देव{पुं}{2;एक},<आदि-देवम्>K1,आदिः सः देवः च = आदिदेवः तम् आदिदेवम्,समुच्चितम् 18,-,देवों का भी आदिदेव,explaining,-,-,16.8.MGGGGLGLG
अ-जम्,-,अ-ज{पुं}{2;एक},अज{पुं}{2;एक},<न-जम्>U,न जायते सः = अजः तम् अजम्,समुच्चितम् 18,-,अजन्मा,10.12.JO Krsna,देवानां इयं दैवी ताम्,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-लोपः शाकल्यस्य (8।3।19)),GGG
(च),-,(च{अव्य}),(च){अव्य},-,-,कर्मसमानाधिकरणम् 20,-,(और),which,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),GGGGL
विभुम्,विभुम्,विभु{पुं}{2;एक},विभु{पुं}{2;एक},-,-,समुच्चितम् 18,-,सर्वव्यापी,unto me,-,-,GGLGGGGGLGGGLGLG
आहुः,आहुस्त्वामृषयः,अह्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;अहँ;स्वादिः}/ब्रू1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;ब्रूञ्;अदादिः},ब्रू{कर्तरि;लट्;प्र;बहु;परस्मैपदी;ब्रूञ्;अदादिः},-,-,-,-,कहते हैं,tell,16.2.K-,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-लोपः शाकल्यस्य (8।3।19)),16.9.MLLGGLGLG
तथा,-,तथा{अव्य},तथा{अव्य},-,-,-,-,वैसे ही,I,-,-,GGLLGGG
देव-ऋषिः,देवर्षिर्नारदस्तथा,देव-ऋषि{पुं}{1;एक},देव-ऋषि{पुं}{1;एक},<देव-ऋषिः>K1,देवः च ऋषिः च = देवर्षिः,विशेषणम् 23,-,देवर्षि,these,-,-,GGLGLLGG
नारदः,-,नारद{पुं}{1;एक},नारद{पुं}{1;एक},-,-,समुच्चितम् 27,-,नारद,all,-,-,L
असितः,असितो,असित{पुं}{1;एक}/असितृ{पुं}{8;एक}/असितृ{नपुं}{8;एक},असित{पुं}{1;एक},-,-,समुच्चितम् 27,-,असित,truths,-,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-हलि सर्वेषाम् (8।3।22)),GGLLL
देवलः,देवलो,देवल{पुं}{1;एक},देवल{पुं}{1;एक},-,-,समुच्चितम् 27,-,देवल ऋषि,accept,पुरुषस्य क्रूरस्य भावः पारुष्यम्,-,GLG
व्यासः,व्यासः,व्यास{पुं}{1;एक},व्यास{पुं}{1;एक},-,-,समुच्चितम् 27,-,महर्षि व्यास,O Personality of Godhead,-,-,16.10.MGGGLLGGG
च,चैव,च{अव्य},च{अव्य},-,-,कर्ता 31,-,और,Your,-,-,GGGLLGLG
स्वयम्,स्वयं,स्वयम्{अव्य},स्वयम्{अव्य},-,-,समुच्चितम् 27,-,स्वयं आप,revelation,असुराणां इयं आसुरी ताम्,-,GLGGGGGGGLGLG
एव,-,एव{अव्य},एव{अव्य},-,-,सम्बन्धः 28,-,भी,never,-,-,GGG
मे,मे,अस्मद्{6;एक},अस्मद्{4;एक},-,-,सम्प्रदानम् 31,-,मेरे प्रति,the demons,16.3.Kदेवानां इयं दैवी,रेफ-सन्धिः (ससजुषो रुः (8।2।66)),16.11.MLG
ब्रवीषि,ब्रवीषि,ब्रू1{कर्तरि;लट्;म;एक;आत्मनेपदी;ब्रूञ्;अदादिः},ब्रू{कर्तरि;लट्;म;एक;परस्मैपदी;ब्रूञ्;अदादिः},-,-,-,-,कहते हैं,also,-,-,LGGL
10.12.Aकेशव,10.12.Bकेशव,10.12.Cकेशव{पुं}{8;एक},10.12.Dकेशव{पुं}{8;एक},10.12.E-,10.12.F-,10.12.Gसम्बोध्यः 4,10.12.H-,10.12.Iहे केशव,nor,असुराणां इयं आसुरी,-,GGGG
यत्,यन्मां,यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य},यद्{नपुं}{2;एक},-,-,कर्म 4,-,जो,the demigods,नितरां बन्धः निबन्धः तस्मै निबन्धाय,-,LGLL
माम्,-,अस्मद्{2;एक},अस्मद्{2;एक},-,-,कर्मसमानाधिकरणम् 4,-,मेरे प्रति,certainly,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),G
वदसि,वदसि,वद्1{कर्तरि;लट्;म;एक;परस्मैपदी;वदँ;भ्वादिः},वद्{कर्तरि;लट्;म;एक;परस्मैपदी;वदँ;भ्वादिः},-,-,-,-,आप कहते हैं,can know,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)) / रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),LGGGGLL
(अहम्),-,(अस्मद्{1;एक}),(अस्मद्){1;एक},-,-,कर्ता 9,-,(मैं),10.13.JO origin of everything,-,-,LGLL
*एतत्,-,एतद्{नपुं}{1;एक}/एतद्{नपुं}{2;एक},एतद्{नपुं}{2;एक},-,-,विशेषणम् 7,-,इस,O Lord of everything,-,-,LGLL
सर्वम्,सर्वमेतदृतं,सर्व{पुं}{2;एक}/सर्व{नपुं}{1;एक}/सर्व{नपुं}{2;एक},सर्व{नपुं}{2;एक},-,-,कर्म 9,-,सबको,O Lord of all demigods,देवानां इयं दैवी ताम्,-,16.12.MLG
ऋतम्,-,ऋत{पुं}{2;एक}/ऋत{नपुं}{1;एक}/ऋत{नपुं}{2;एक},ऋत{नपुं}{2;एक},-,-,कर्मसमानाधिकरणम् 9,-,सत्य,O Lord of the entire universe,-,16.6.L-,GGLGG
मन्ये,मन्ये,मन्1{कर्मणि;लट्;उ;एक;आत्मनेपदी;मनँ;दिवादिः}/मन्2{कर्मणि;लट्;उ;एक;आत्मनेपदी;मनुँ;तनादिः},मन्{कर्तरि;लट्;उ;एक;आत्मनेपदी;मनँ;दिवादिः},-,-,-,-,मानता हूँ,O greatest of all persons,16.4.K-,जश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)) / रेफ-सन्धिः (ससजुषो रुः (8।2।66)),LG
भगवन्,भगवन्व्यक्तिं,भगवत्{पुं}{8;एक},भगवत्{पुं}{8;एक},-,-,सम्बोध्यः 19,-,हे भगवन्,you,-,-,LG
ते,ते,तद्{पुं}{1;बहु}/तद्{स्त्री}{1;द्वि}/तद्{स्त्री}{2;द्वि}/तद्{नपुं}{1;द्वि}/तद्{नपुं}{2;द्वि}/युष्मद्{4;एक}/युष्मद्{6;एक},युष्मद्{6;एक},-,-,षष्ठीसम्बन्धः 12,-,आपके,personality,-,-,GLGLL
व्यक्तिम्,-,व्यक्ति{स्त्री}{2;एक},व्यक्ति{स्त्री}{2;एक},-,-,कर्म 19,-,लीलामय स्वरूप को,certainly,-,चर्त्व-सन्धिः (खरि च (8।4।55)),GLGGLG
न,न,न{अव्य},न{अव्य},-,-,सम्बन्धः 14,-,न,by Yourself,-,16.7.L-,GGG
दानवाः,दानवाः,दानव{पुं}{1;बहु}/दानव{पुं}{8;बहु},दानव{पुं}{1;बहु},-,-,समुच्चितम् 15,-,दानव,Yourself,देवानां अयं दैवः,-,LLGLG
(च),-,(च{अव्य}),(च){अव्य},-,-,कर्ता 19,-,(और),know,-,रुत्व-उत्व-गुण-पूर्वरुप-सन्धिः (ससजुषो रुः (8।2।66)-अतो रोरप्लुतादप्लुते (6।1।113)-आद्गुणः (6।1।87)-एङः पदान्तादति (6।1।109)),GGLLLGGL
न,न,न{अव्य},न{अव्य},-,-,सम्बन्धः 17,-,न,10.14.Jyou,आसुराणां अयं आसुरः,रुत्व-उत्व-गुण-पूर्वरुप-सन्धिः (ससजुषो रुः (8।2।66)-अतो रोरप्लुतादप्लुते (6।1।113)-आद्गुणः (6।1।87)-एङः पदान्तादति (6।1।109)),LG
देवाः,-,देव{पुं}{1;बहु}/देव{पुं}{8;बहु},देव{पुं}{1;बहु},-,-,समुच्चितम् 15,-,देवता,certainly,देवानां अयं दैवः,-,LLG
हि,हि,हि{अव्य},हि{अव्य},-,-,सम्बन्धः 17,-,ही,divine,-,यण्-सन्धिः (इको यणचि (6।1।77)),GGL
विदुः,विदुर्देवा,विदु{पुं}{1;एक}/विदुस्{नपुं}{1;एक}/विदुस्{नपुं}{2;एक}/विदुस्{नपुं}{8;एक}/विद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;विदँ;अदादिः},विद्{कर्तरि;लट्;प्र;बहु;परस्मैपदी;विदँ;अदादिः},-,-,-,-,जानते हैं,your opulences,-,16.8.L-,GG
10.13.Aभूत-भावन,10.13.Bभूतभावन,10.13.Cभूत-भावन{नपुं}{8;एक},10.13.Dभूत-भावन{पुं}{8;एक},10.13.E<भूत-भावन>T6,10.13.Fभूतानां भावनः = भूतभावनः सम्बोधने भूतभावन,10.13.Gसम्बोध्यः 11,10.13.H-,10.13.Iहे भूतों को उत्पन्न करनेवाले,in detail,असुराणां अयं आसुरः असुरस्वभावः एषां अस्तीति आसुराः  ताम्,-,GGL
भूत-ईश,भूतेश,भूत-ईश{पुं}{8;एक},भूत-ईश{पुं}{8;एक},<भूत-ईश>T6,भूतस्य ईशः = भूतेशः सम्बोधने भूतेश,सम्बोध्यः 11,-,हे भूतों के ईश्वर,to say,-,-,GGL
देव-देव,देवदेव,देव-देव{पुं}{8;एक},देव-देव{पुं}{8;एक},<देव-देव>T6,देवानां देवः = देवदेवः सम्बोधने देवदेव,सम्बोध्यः 11,-,हे देवों के देव,deserve,-,जश्त्व-सन्धिः (झलां जश् झशि (8।4।53)) / सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)) / पूर्वरूप-सन्धिः (एङः पदान्तादति (6।1।109)),GGGLGGLG
जगत्-पते,जगत्पते,जगत्-पत{पुं}{7;एक}/पति{पुं}{8;एक},जगत्-पति{पुं}{8;एक},<जगत्-पते>T6,जगतः पतिः = जगत्पतिः सम्बोधने जगत्पते,सम्बोध्यः 11,-,हे जगत् के स्वामी,by which,16.5.Kअसुराणां अयं आसुरः असुरस्वभावः एषां अस्तीति आसुराः,16.9.L-,LGLGLGGG
पुरुष-उत्तम,पुरुषोत्तम,पुरुषोत्तम{पुं}{8;एक},पुरुषोत्तम{पुं}{8;एक},<पुरुष-उत्तम>T7,पुरुषेषु उत्तमः = पुरुषोत्तमः सम्बोधने पुरुषोत्तम,सम्बोध्यः 11,-,हे पुरुषोत्तम,opulences,-,-,GLGLGGLG
त्वम्,त्वं,युष्मद्{1;एक},युष्मद्{1;एक},-,-,विशेषणम् 7,-,आप,you,-,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-लोपः शाकल्यस्य (8।3।19)),GLGGL
स्वयम्,स्वयमेवात्मनात्मानं,स्वयम्{अव्य},स्वयम्{अव्य},-,-,कर्ता 11,-,स्वयं,these,-,-,LGG
एव,-,एव{अव्य},एव{अव्य},-,-,सम्बन्धः 7,-,ही,all the planets,-,जश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)),LLGLG
आत्मना,-,आत्मन्{पुं}{3;एक},आत्मन्{पुं}{3;एक},-,-,करणम् 11,-,अपनेसे,pervading,-,-,LGL
आत्मानम्,-,आत्मन्{पुं}{2;एक},आत्मन्{पुं}{2;एक},-,-,कर्म 11,-,अपनेको,remain,-,16.10.Lरेफ-सन्धिः (ससजुषो रुः (8।2।66)),GLGGLG
वेत्थ,वेत्थ,विद्1{कर्तरि;लट्;म;एक;परस्मैपदी;विदँ;अदादिः},विद्{कर्तरि;लट्;म;एक;परस्मैपदी;विदँ;अदादिः},-,-,-,-,जानते हैं,10.15.JO supreme mystic,-,-,GG
10.14.Aत्वम्,10.14.B-,10.14.Cयुष्मद्{1;एक},10.14.Dयुष्मद्{1;एक},10.14.E-,10.14.F-,10.14.Gकर्ता 6,10.14.H-,10.14.Iआप,I,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),LGGGLGLG
हि,ह्यात्मविभूतयः,हि{अव्य},हि{अव्य},-,-,सम्बन्धः 1,-,ही,how,-,-,GLGGG
दिव्याः,दिव्या,दिव्य{पुं}{1;बहु}/दिव्य{पुं}{8;बहु}/दिव्या{स्त्री}{1;बहु}/दिव्या{स्त्री}{2;बहु}/दिव्या{स्त्री}{8;बहु},दिव्य{पुं}{1;बहु},-,-,विशेषणम् 4,-,दिव्य,always,शुचेः भावः शौचम्,16.11.L-,GGGLLGLL
आत्म-वि-भूतयः,-,आत्मन्-वि-भूति{स्त्री}{1;बहु}/भूति{स्त्री}{8;बहु},आत्मन्-विभूति{पुं}{1;बहु},<आत्म-<वि-भूतयः>Bvp>T6,"विशिष्टा भूतिः यस्य = विभूतिः, आत्मनः विभूतिः = आत्मविभूतिः ते आत्मविभूतयः",कर्म 6,-,अपनी विभूतियों को,thinking,-,-,LGG
अ-शेषेण,-,अ-शेष{पुं}{3;एक}/शेष{नपुं}{3;एक},अशेष{पुं}{3;एक},<न-शेषेण>Tn,न शेषः = अशेषः तेन अशेषेण,क्रियाविशेषणम् 6,-,सम्पूर्णता से,you,-,-,16.15.MLGGG
